,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
35,-122.27,37.83,51,0.0144212197,574,1258,536,2.7303,4,4.9720149254,0.2153846154,2.5362903226,109700
36,-122.27,37.83,49,-0.6499376097,282,570,264,1.4861,4,4.6022727273,0.2320987654,2.7014218009,97200
37,-122.27,37.83,48,-0.3828195424,432,987,374,1.0972,4,4.807486631,0.2402669633,1.974,104500
38,-122.28,37.83,52,-0.5143167728,390,901,403,1.4103,4,3.7493796526,0.2581072138,1.6322463768,103900
39,-122.26,37.83,52,-0.5331020914,330,689,309,3.48,4,4.7572815534,0.2244897959,1.4147843943,191400
40,-122.26,37.83,52,-0.0923343715,715,1377,696,2.5898,4,3.4942528736,0.2939967105,4.4707792208,176000
41,-122.26,37.83,52,-0.4437572833,419,946,395,2.0978,4,4.2151898734,0.2516516517,2.0565217391,155400
43,-122.26,37.84,49,-0.8799432182,202,462,189,1.025,4,3.7724867725,0.2833099579,0.8970873786,118800
45,-122.26,37.83,52,-0.545472911,311,660,292,3.0125,4,4.9417808219,0.2155232155,1.7368421053,184400
47,-122.26,37.83,50,-0.6911736749,322,616,304,2.026,4,3.7006578947,0.2862222222,2.3875968992,142500
48,-122.27,37.82,43,-0.7452387383,312,558,253,1.7348,4,3.9802371542,0.3098311817,1.7064220183,137500
49,-122.26,37.82,40,-0.9207211049,195,423,160,0.9506,4,3.9,0.3125,0.8757763975,187500
50,-122.27,37.82,40,-0.773187627,375,700,352,1.775,4,2.6875,0.3964059197,0.9695290859,112500
52,-122.27,37.82,43,-0.3507470472,456,1061,407,1.5045,4,4.5896805897,0.244111349,1.3725743855,93800
53,-122.27,37.82,41,0.2691684674,853,1959,720,1.1108,4,4.4736111111,0.2648245886,9.9948979592,97500
55,-122.28,37.82,52,-0.6705556423,235,701,233,1.6098,4,5.0214592275,0.2008547009,3.7688172043,87500
56,-122.28,37.82,52,-0.7736458055,243,576,220,1.4113,4,4.2954545455,0.2571428571,1.4807197943,83100
57,-122.28,37.82,52,-0.6393995041,288,622,259,1.5057,4,4.7799227799,0.2326332795,2.7400881057,87500
58,-122.28,37.82,52,-0.5243966998,335,728,244,0.8172,4,6.1024590164,0.2249832102,3.9781420765,85300
59,-122.28,37.82,52,-0.5711309071,341,1074,304,1.2171,4,4.5625,0.2458543619,3.1311953353,80300
60,-122.29,37.82,2,-1.1342322874,43,94,57,2.5625,4,2.7719298246,0.2721518987,0.6714285714,60000
61,-122.29,37.83,52,-0.6930063889,211,554,187,3.3929,4,5.9946524064,0.1882247993,1.6294117647,75700
62,-122.29,37.82,49,-1.1447703929,29,86,23,6.1183,4,5.8695652174,0.2148148148,0.1218130312,75000
63,-122.29,37.81,50,-0.8584088285,190,377,122,0.9011,4,6.2295081967,0.25,1.1355421687,86100
64,-122.3,37.81,52,-0.6458140031,237,521,159,1.191,4,7.6981132075,0.193627451,2.480952381,76100
65,-122.3,37.81,48,-0.8272526903,182,392,133,2.5938,4,6.2255639098,0.2198067633,0.7919191919,73500
68,-122.29,37.8,52,-0.7360751682,244,492,147,2.6094,4,6.9863945578,0.2375851996,1.3333333333,81300
69,-122.3,37.81,52,-0.9445463871,109,274,82,1.8516,4,6.9756097561,0.1905594406,1.3110047847,85000
71,-122.29,37.81,26,-0.8547434005,152,392,127,1.7719,4,6.0472440945,0.1979166667,0.5576102418,82500
72,-122.29,37.81,46,-0.7782275905,297,582,277,0.7286,4,3.3754512635,0.3176470588,4.8099173554,95200
74,-122.29,37.81,46,-1.2011263488,4,18,7,0.4999,4,1.7142857143,0.3333333333,0.0825688073,67500
76,-122.28,37.81,17,-0.6398576826,462,762,439,0.9241,4,2.8177676538,0.3734842361,2.3664596273,177500
77,-122.28,37.81,36,0.128507667,562,1236,509,2.4464,4,5.7249508841,0.1928620453,3.4816901408,102100
79,-122.29,37.81,23,-0.4071030031,374,1054,325,0.8026,4,5.3692307692,0.2143266476,2.7591623037,112500
80,-122.28,37.8,38,-0.8932303948,176,344,155,2.0114,4,4.4129032258,0.2573099415,1.075,131300
81,-122.28,37.81,17,-0.783267554,289,609,289,1.5,4,3.1972318339,0.3127705628,3.6909090909,162500
82,-122.27,37.81,52,-1.1104070052,56,183,56,1.1667,4,3.75,0.2666666667,0.3519230769,112500
84,-122.28,37.81,52,-1.0297675887,164,346,155,0.8075,4,2.4903225806,0.4248704663,2.5255474453,137500
85,-122.28,37.81,35,-0.77227127,184,467,169,1.8088,4,5.6094674556,0.194092827,1.3695014663,118800
86,-122.28,37.81,52,-0.852452508,143,377,115,2.4083,4,6.7217391304,0.1849935317,3.4587155963,98200
87,-122.27,37.81,40,-0.8034274082,451,582,380,0.977,4,2.3157894737,0.5125,1.6440677966,118800
88,-122.27,37.81,10,-0.8057183007,348,546,330,0.76,4,2.6515151515,0.3977142857,2.8,162500
89,-122.27,37.8,10,-1.158515748,42,125,39,0.9722,4,2.6923076923,0.4,0.4826254826,137500
90,-122.27,37.8,52,-1.0925380436,78,396,85,1.2434,4,2.9294117647,0.313253012,1.4666666667,500001
92,-122.28,37.8,52,-1.1081161127,87,904,88,0.8668,4,2.4431818182,0.4046511628,1.6960600375,137500
93,-122.28,37.8,52,-1.1626393545,31,191,34,0.75,4,2.8235294118,0.3229166667,1.752293578,162500
94,-122.27,37.79,27,-0.7232461701,347,718,302,2.6354,4,3.4933774834,0.3289099526,5.3185185185,187500
95,-122.27,37.8,39,-0.4208483582,623,1327,467,1.8477,4,3.6723768737,0.3632653061,9.977443609,179200
97,-122.26,37.82,31,0.899163909,1331,2048,1180,2.8345,4,3.8949152542,0.2895996519,14.2222222222,183800
99,-122.26,37.82,22,0.4803887573,1270,2024,1250,1.2185,4,2.9456,0.3449212385,8.5762711864,170000
100,-122.26,37.82,37,0.4579380106,1085,1838,980,2.6104,4,3.7071428571,0.2986512524,6.4265734266,193100
101,-122.25,37.81,29,0.9266546192,1414,2304,1250,2.4912,4,3.7248,0.3036941581,6.1114058355,257800
102,-122.25,37.81,28,1.4535598977,1603,2563,1497,3.2177,4,3.8784235137,0.2760936962,6.8346666667,273400
103,-122.25,37.81,39,-0.8153400493,242,389,228,3.125,4,3.7456140351,0.2833723653,1.5942622951,237500
104,-122.25,37.81,52,-0.2192498168,701,895,613,2.5795,4,3.515497553,0.3252900232,2.9248366013,350000
105,-122.26,37.81,34,1.4833415004,1914,2689,1789,2.8406,4,3.2817216322,0.3260091978,5.5215605749,335700
108,-122.25,37.81,52,-0.4011466825,460,686,422,3.1691,4,4.1658767773,0.2616609784,1.4848484848,259400
109,-122.24,37.82,52,0.3882948782,751,1444,718,3.9,4,4.848189415,0.2157426027,3.5742574257,275700
111,-122.25,37.82,52,-0.5541783025,289,550,253,5.0917,4,5.628458498,0.2029494382,1.4588859416,262500
112,-122.25,37.82,32,0.5385774272,1098,1806,1022,2.6429,4,3.7270058708,0.2882646364,10.5,218500
113,-122.25,37.82,26,0.6073042026,1196,1749,1217,3.0233,4,3.2530813476,0.302096489,3.3570057582,255000
114,-122.25,37.83,52,-0.1179923677,559,939,519,3.1484,4,4.5780346821,0.2352693603,1.8197674419,224100
115,-122.25,37.83,35,-0.4675825655,428,675,422,3.4722,4,3.8222748815,0.2653440794,1,243100
116,-122.25,37.83,52,-0.6206141855,287,534,291,3.1429,4,4.3951890034,0.2243940579,0.8668831169,231600
117,-122.25,37.83,28,1.0943479513,1750,2558,1661,2.4234,4,3.0234798314,0.3484667463,4.4642233857,218500
118,-122.25,37.83,52,0.7131434368,1105,1786,1037,3.0897,4,4.0405014465,0.2637231504,2.5734870317,234100
119,-122.23,37.84,50,-0.0543055557,399,970,373,5.8596,4,6.7426273458,0.1586481113,2.8613569322,327600
121,-122.24,37.83,41,-0.0263566671,406,794,376,5.956,4,6.8510638298,0.1576086957,2.1344086022,366100
122,-122.24,37.85,37,-1.0535928708,54,98,47,4.9643,4,7.1063829787,0.1616766467,0.2832369942,335000
123,-122.23,37.85,52,0.0762753176,411,1061,403,6.3434,4,6.9478908189,0.1467857143,1.6682389937,373600
124,-122.24,37.84,52,0.4102874463,574,1177,555,5.1773,4,6.3585585586,0.1626523094,1.4823677582,389500
125,-122.24,37.85,52,-0.0098622409,365,901,367,7.2354,4,7.1171662125,0.1397396631,3.5333333333,391100
126,-122.22,37.85,28,1.2157652546,1048,2031,956,5.457,4,5.530334728,0.1982220541,5.5950413223,337300
127,-122.22,37.84,50,0.1381294155,473,1031,479,7.5,4,6.127348643,0.1611584327,3.2319749216,295200
128,-122.21,37.84,44,0.3621787035,597,1358,597,6.0194,4,5.7353433836,0.1743574766,2.9141630901,292300
130,-122.2,37.84,30,-0.1935918207,346,844,343,6.0666,4,6.4460641399,0.1564902759,2.3379501385,311500
132,-122.19,37.84,18,-0.4657498515,210,533,194,11.6017,4,8.3350515464,0.1298701299,1.6920634921,392600
133,-122.2,37.84,35,0.1060569203,460,1072,443,7.4882,4,6.467268623,0.1605584642,5.1538461538,319300
134,-122.21,37.83,34,1.1140496269,788,1627,766,6.8976,4,6.6122715405,0.1555774926,3.3477366255,333300
135,-122.19,37.83,28,-0.5990797958,184,463,190,8.2049,4,6.9789473684,0.1387631976,0.5415204678,335200
137,-122.19,37.83,29,-0.3860267919,271,661,269,6.8538,4,6.6579925651,0.1513121161,2.2033333333,368900
138,-122.19,37.82,32,-0.3658669378,264,635,263,8.317,4,6.9771863118,0.1438692098,1.8299711816,365900
139,-122.2,37.82,37,-0.6435231106,181,420,176,7.0175,4,6.9829545455,0.1472742067,0.6334841629,366700
141,-122.18,37.81,30,-1.0728363679,38,126,52,6.3624,4,5.6153846154,0.1301369863,0.2757111597,483300
142,-122.21,37.82,52,-0.1184505462,333,813,350,7.0549,4,6.7857142857,0.1402105263,1.5694980695,331400
143,-122.2,37.81,45,0.1514165921,436,1067,426,6.7851,4,6.9577464789,0.1470985155,2.2368972746,323500
146,-122.21,37.81,52,-0.5702145501,212,510,224,5.2402,4,6.2008928571,0.1526277898,1.9172932331,296400
149,-122.22,37.8,52,-0.1592284329,464,1073,441,3.0298,4,5.1836734694,0.2029746282,2.4058295964,199600
151,-122.22,37.81,52,-0.2792712007,339,756,340,4.072,4,5.9529411765,0.1674901186,0.6568201564,270100
152,-122.22,37.81,52,0.1422530221,536,1034,521,5.3509,4,5.650671785,0.1820652174,3.1717791411,302100
153,-122.23,37.8,52,-0.2751475942,486,787,459,3.1603,4,4.4291938998,0.2390555829,1.537109375,269500
154,-122.23,37.81,52,-0.550054696,229,612,213,4.7708,4,6.7276995305,0.1598046057,1.0285714286,314700
158,-122.24,37.81,52,-0.5239385213,238,634,256,6.0302,4,5.8203125,0.1597315436,2.4106463878,287300
159,-122.23,37.81,52,0.0826898167,365,878,352,7.508,4,7.9943181818,0.1297085999,1.5905797101,348700
161,-122.24,37.8,52,-0.7997619801,168,360,175,2.1944,4,5.0742857143,0.1891891892,1.875,211500
162,-122.25,37.8,52,-0.250405955,510,1197,488,3.0149,4,4.2766393443,0.244369909,4.15625,218400
163,-122.24,37.81,52,-0.0552219127,502,1048,518,3.675,4,4.8513513514,0.1997612415,2.4091954023,269900
164,-122.25,37.81,46,0.2742084309,835,1373,747,3.225,4,4.3266398929,0.2583539604,5.4268774704,218800
165,-122.25,37.8,42,0.6810709416,1065,1715,1015,2.9345,4,4.0591133005,0.2584951456,6.3518518519,225000
167,-122.25,37.8,41,-0.5326439129,469,1062,413,1.6121,4,3.5617433414,0.3188307274,6.2105263158,171400
169,-122.24,37.79,27,-0.4588771739,492,1171,429,2.3173,4,3.8041958042,0.3014705882,1.484157161,125000
170,-122.25,37.79,45,-0.3883176844,526,1475,460,1.7772,4,3.8826086957,0.2945128779,5.6513409962,97500
172,-122.25,37.79,52,-0.5931234753,391,1086,363,2.181,4,3.6887052342,0.2920089619,4.5439330544,138800
173,-122.25,37.8,36,-0.4378009628,606,1645,543,2.2303,4,3.0902394107,0.3611442193,4.3403693931,116700
174,-122.25,37.8,43,-0.1326540798,647,1710,644,1.6504,4,3.6397515528,0.2760238908,4.8579545455,151800
175,-122.24,37.8,52,-0.7502787018,228,731,228,2.2697,4,4.3684210526,0.2289156627,2.1820895522,127000
176,-122.24,37.8,52,-0.4776624925,373,1118,347,2.1563,4,4.5850144092,0.2344437461,4.0071684588,128600
177,-122.24,37.8,52,-0.479953385,398,1006,335,2.1348,4,4.7343283582,0.2509457755,2.8579545455,140600
178,-122.24,37.8,47,-0.2691912737,588,1213,554,2.6292,4,3.6931407942,0.2873900293,3.9383116883,182700
179,-122.23,37.8,52,-0.6604757152,289,772,257,2.3833,4,4.6381322957,0.2424496644,2.6348122867,146900
180,-122.24,37.8,52,-0.3805286499,420,1321,401,2.957,4,4.4962593516,0.2329450915,2.9486607143,122800
181,-122.24,37.8,49,0.0936861007,749,1487,677,2.5238,4,4.1920236337,0.2639182523,3.5236966825,169300
183,-122.23,37.8,51,-0.478120671,414,949,392,1.9028,4,4.056122449,0.2603773585,1.898,127900
184,-122.23,37.8,50,-0.4066448246,480,1149,415,2.25,4,4.2072289157,0.2749140893,2.9461538462,123500
185,-122.23,37.8,52,-0.6329850051,299,844,280,2.3929,4,4.4714285714,0.2388178914,1.2691729323,111900
186,-122.23,37.79,43,1.5254939227,1344,4367,1231,2.1917,4,4.8440292445,0.2253899044,15.9379562044,112800
187,-122.23,37.79,52,-0.3896922199,395,1659,412,2.9357,4,4.3276699029,0.2215367358,1.5921305182,107900
188,-122.23,37.79,30,-0.7489041663,264,1011,263,1.8854,4,3.7984790875,0.2642642643,9.0267857143,137500
190,-122.24,37.79,47,-0.5780035847,395,1237,303,2.125,4,4.5280528053,0.2879008746,2.0514096186,95500
191,-122.24,37.79,52,-0.8978121798,180,647,168,3.375,4,4.0119047619,0.2670623145,2.1638795987,116100
192,-122.24,37.79,43,-0.4616262449,376,1284,357,2.2542,4,4.5546218487,0.2312423124,15.6585365854,112200
193,-122.25,37.79,51,-1.1264432528,43,228,55,2.1,4,3.1818181818,0.2457142857,9.12,75000
194,-122.25,37.79,39,-0.9954042009,129,381,123,1.6,4,3.7479674797,0.2798264642,2.0819672131,112500
196,-122.26,37.8,20,-0.1193669032,779,1659,676,1.6929,4,3.5103550296,0.3282764433,5.511627907,115000
197,-122.22,37.77,52,-1.0274766961,128,520,138,1.6471,4,2.8333333333,0.3273657289,6.7532467532,95000
198,-122.22,37.77,52,-0.6856755329,301,866,259,2.59,4,4.38996139,0.2647317502,3.4919354839,96400
200,-122.23,37.78,52,-0.9903642374,146,415,126,2.6429,4,3.746031746,0.3093220339,2.075,71300
201,-122.23,37.78,52,-0.8116746212,215,994,213,3.0257,4,4.0469483568,0.2494199536,5.372972973,80800
202,-122.22,37.78,50,-0.326921765,530,1525,477,1.4886,4,4.0251572327,0.2760416667,9.53125,128800
203,-122.23,37.78,43,-0.5560110165,472,1506,438,1.9338,4,3.2420091324,0.3323943662,5.3404255319,112500
204,-122.23,37.78,52,-0.7548604869,258,1008,255,1.4844,4,3.8666666667,0.261663286,2.3441860465,119400
205,-122.23,37.78,44,-0.1344867938,825,2813,751,1.6009,4,3.1158455393,0.3525641026,17.6918238994,118100
207,-122.23,37.79,49,-0.6682647498,217,859,219,2.293,4,5.3652968037,0.1846808511,2.8443708609,106300
208,-122.22,37.79,37,-0.1331122583,574,1608,523,2.1494,4,4.4799235182,0.2449850619,8.6918918919,132500
210,-122.23,37.79,40,-0.780518483,199,564,184,1.3281,4,5.0543478261,0.2139784946,0.4375484872,113300
211,-122.22,37.79,44,-0.5253130568,314,961,272,3.5156,4,5.4669117647,0.2111634163,3.859437751,109500
212,-122.22,37.79,52,0.3621787035,690,2273,685,3.9048,4,4.998540146,0.2015186916,7.2619808307,164700
213,-122.21,37.79,52,-0.8574924715,190,600,195,3.0893,4,3.9076923077,0.249343832,1.775147929,125000
214,-122.22,37.79,46,-0.1225741527,575,1647,527,2.6042,4,4.4895635674,0.2430262046,5.49,124700
215,-122.22,37.79,49,-0.3699905443,450,1201,424,2.5,4,4.3066037736,0.2464403067,3.8741935484,136700
216,-122.22,37.79,38,0.1903617649,711,2167,659,2.7969,4,4.626707132,0.2331912102,6.1042253521,141700
218,-122.21,37.79,47,-0.4996550607,307,859,292,2.9583,4,5.2842465753,0.198963059,3.2052238806,138800
219,-122.21,37.79,34,-0.1234905097,557,1517,516,2.8365,4,4.5813953488,0.2356175973,5.5567765568,139200
220,-122.21,37.79,35,-0.4071030031,409,1143,386,2.875,4,4.5207253886,0.2343839542,0.8971742543,143800
221,-122.21,37.8,39,-0.2888929493,500,1109,464,3.0682,4,4.3168103448,0.2496255617,3.4764890282,156500
222,-122.21,37.8,39,-0.2820202717,447,1221,446,3.0757,4,4.5246636771,0.221506442,0.4435161642,151000
223,-122.2,37.8,43,0.1885290509,499,1115,455,4.9559,4,6.6923076923,0.1638752053,0.7478202549,273000
224,-122.2,37.8,52,-0.4978223467,293,706,268,4.7721,4,5.7723880597,0.1893988365,1.4091816367,217100
226,-122.2,37.8,41,-0.2581949896,354,804,340,5.1184,4,6.0882352941,0.1710144928,1.4752293578,239600
227,-122.21,37.8,48,-0.6013706883,263,506,252,4.0977,4,5.2420634921,0.1990915973,1.2463054187,229700
228,-122.19,37.8,48,-0.4304701067,259,610,238,4.744,4,7.1176470588,0.152892562,0.9228441755,257300
230,-122.19,37.79,50,-0.7631076999,195,462,184,2.9844,4,5.2608695652,0.201446281,0.9871794872,179900
231,-122.2,37.79,40,-0.7209552776,256,667,235,4.1739,4,4.5106382979,0.241509434,0.874180865,169600
232,-122.2,37.8,46,-0.2714821662,405,1059,399,3.8487,4,5.1152882206,0.1984321411,1.7918781726,203300
233,-122.19,37.8,52,-0.3759468649,271,637,277,4.0114,4,6.5451263538,0.1494760066,1.3188405797,263400
234,-122.19,37.79,45,0.0387046804,451,1106,454,4.6563,4,5.986784141,0.1659308315,11.06,231800
235,-122.19,37.79,28,0.2338887227,761,1737,669,2.9297,4,4.6995515695,0.2420483461,3.7194860814,140500
236,-122.2,37.79,35,-0.3809868284,459,1009,390,2.3036,4,4.6205128205,0.2547169811,1.4231311707,126000
238,-122.2,37.79,44,-0.4639171374,452,1354,491,2.619,4,3.3014256619,0.2788402221,0.8990703851,134700
239,-122.21,37.79,45,-0.2375769569,533,1530,474,2.4167,4,4.4620253165,0.2520094563,3.4459459459,139400
240,-122.2,37.79,45,-0.2806457362,528,1410,480,2.7788,4,4.2104166667,0.2612568036,6.7788461538,115400
241,-122.21,37.78,46,-0.1807628226,508,1390,569,2.7352,4,3.934973638,0.2268870031,4.6488294314,137300
242,-122.21,37.78,52,-0.5298948419,300,1065,269,1.8472,4,5.4907063197,0.2031144211,4.0961538462,137000
243,-122.21,37.78,52,-0.7227879916,224,792,245,2.6583,4,4.3102040816,0.2121212121,1.5230769231,142600
244,-122.21,37.78,49,-0.7951801951,244,779,245,3.0536,4,3.6653061224,0.271714922,2.7237762238,137500
245,-122.22,37.78,44,0.1532493061,710,2269,610,2.3906,4,4.8655737705,0.2392183288,9.2612244898,111700
246,-122.21,37.78,43,-0.4268046787,460,1227,407,1.7188,4,4.1818181818,0.2702702703,4.1593220339,126800
247,-122.21,37.78,47,-0.8029692297,248,753,241,2.625,4,3.6556016598,0.2814982974,0.6126932465,111300
248,-122.22,37.77,40,-0.9802843103,114,547,135,2.8015,4,3.6592592593,0.2307692308,3.1802325581,114800
249,-122.22,37.78,50,-0.3928994695,473,1807,440,1.7276,4,4.0363636364,0.2663288288,6.5,102300
251,-122.22,37.78,51,-0.4565862814,463,1543,393,2.489,4,4.165394402,0.2828344533,2.0795148248,119100
252,-122.21,37.76,52,-0.5560110165,314,1085,300,1.7546,4,4.7333333333,0.2211267606,1.6953125,80600
253,-122.21,37.77,52,-0.9358409955,173,353,137,4.0904,4,4.3138686131,0.2927241963,1.6495327103,80600
254,-122.21,37.77,52,-0.8652815061,153,473,149,2.6765,4,5,0.2053691275,11.2619047619,88800
255,-122.2,37.77,49,-0.165642932,498,1621,483,2.4338,4,4.7039337474,0.2191901408,1.16534867,102400
256,-122.21,37.77,46,-0.6412322181,375,1183,354,2.3309,4,3.4858757062,0.3038897893,4.6944444444,98700
257,-122.21,37.77,43,-0.7406569533,328,836,277,2.2604,4,3.6714801444,0.3225172075,2.6206896552,100000
258,-122.19,37.77,42,-0.779602126,254,900,263,1.8039,4,3.5437262357,0.2725321888,3.4220532319,92300
259,-122.2,37.77,39,0.0254175038,597,1888,537,2.2562,4,5.0074487896,0.2220156192,0.5733373823,94800
260,-122.2,37.77,41,-0.4978223467,415,1024,341,2.0562,4,4.5366568915,0.2682611506,9.3944954128,102000
261,-122.2,37.78,52,-0.1528139339,443,1225,423,3.5398,4,5.4373522459,0.1926086957,6.25,158400
262,-122.2,37.78,39,-0.4038957535,399,1071,376,3.1167,4,4.6595744681,0.227739726,10.5,121600
263,-122.2,37.78,50,-0.3512052257,403,1128,378,2.5401,4,4.9391534392,0.2158543117,7.1847133758,129100
264,-122.2,37.77,43,-0.0932507285,502,1537,484,2.898,4,5.020661157,0.2065843621,2.5616666667,121400
265,-122.21,37.78,44,-0.4144338591,414,1240,393,2.3125,4,4.3994910941,0.2394447658,4.0655737705,102800
266,-122.19,37.78,52,-0.7365333467,180,469,168,2.875,4,6.1071428571,0.1754385965,1.5326797386,160000
267,-122.19,37.77,52,-0.2123771393,428,1086,425,3.3715,4,5.1058823529,0.197235023,1.8009950249,143900
268,-122.19,37.77,52,-0.1395267573,445,1144,417,3.5114,4,5.5851318945,0.1910691284,2.0212014134,151200
269,-122.19,37.78,52,-0.0648436613,415,1109,375,4.3125,4,6.6453333333,0.1665329053,0.3399754752,164400
271,-122.18,37.78,33,-1.1415631434,31,575,47,3.875,4,3.0212765957,0.2183098592,1.0267857143,225000
273,-122.19,37.78,52,-0.7163734926,193,555,190,3.7262,4,5.6315789474,0.1803738318,0.4390822785,166900
274,-122.2,37.78,45,-0.3974812545,332,869,327,4.5893,4,5.4006116208,0.18799547,0.5702099738,163500
275,-122.18,37.79,39,-0.9239283545,95,236,106,5.2578,4,5.820754717,0.1539708266,0.6161879896,253000
276,-122.18,37.79,41,-0.5601346231,233,626,214,7.0875,4,6.5934579439,0.1651311127,0.6387755102,240700
277,-122.18,37.79,46,-0.240326028,387,922,329,3.9712,4,6.4103343465,0.1834992888,1.1382716049,208100
278,-122.19,37.79,47,-0.6435231106,243,582,256,2.9514,4,4.80078125,0.197721725,1.8653846154,198100
279,-122.19,37.79,50,-0.769522199,217,546,201,2.6667,4,4.7462686567,0.2274633124,2.6376811594,172800
280,-122.18,37.81,37,-0.4538372104,262,620,266,5.4446,4,6.1766917293,0.1594643944,2.0064724919,336700
281,-122.18,37.8,34,-0.5857926192,195,442,195,6.2838,4,6.9487179487,0.1439114391,0.7949640288,318200
282,-122.18,37.8,23,-0.1450248993,336,955,328,6.7527,4,7.0640243902,0.1450151057,3.7015503876,285800
283,-122.13,37.77,24,-0.0799635519,317,916,324,7.0712,4,7.5895061728,0.1289141928,3.5642023346,293000
284,-122.16,37.79,22,4.6773038449,2048,4985,1967,5.9849,4,6.5287239451,0.159476717,14.8805970149,371000
285,-122.17,37.78,42,-0.5083604522,260,651,267,3.6875,4,5.7078651685,0.1706036745,1.266536965,157300
287,-122.18,37.78,43,-0.2971401623,440,1085,407,3.4205,4,4.8771498771,0.2216624685,2.7329974811,136700
288,-122.18,37.78,50,-0.4542953889,322,713,284,3.2984,4,5.7816901408,0.1961023143,1.1746293245,160700
289,-122.17,37.78,49,-0.7974710876,177,468,181,3.875,4,4.9337016575,0.1982082867,2.9068322981,140600
292,-122.16,37.77,48,-0.7589840934,194,446,180,4.7708,4,5.4277777778,0.198567042,1.7153846154,156300
293,-122.16,37.77,45,-0.1418176498,397,968,384,3.5739,4,6.0520833333,0.1708261618,5.0947368421,176000
294,-122.16,37.77,39,-0.4813279206,349,857,316,3.0958,4,5.0094936709,0.2204674668,2.469740634,145800
296,-122.17,37.77,31,-0.0959997995,533,1360,452,1.871,4,5.3628318584,0.2198844884,4.2105263158,90700
300,-122.17,37.76,38,-0.3983976115,397,987,354,2.4333,4,4.9830508475,0.2250566893,1.3392130258,98200
301,-122.18,37.76,50,-0.6627666077,261,907,246,1.9479,4,4.825203252,0.2198820556,3.2981818182,89500
303,-122.18,37.76,49,-0.1491485059,452,1299,451,1.8407,4,5.1175166297,0.1958405546,4.7408759124,96700
