,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
160,-122.24,37.81,52,-0.2533051834,550,918,483,2.7477,4,4.3333333333,0.2627806976,1.900621118,243800
166,-122.25,37.8,43,-0.1288841991,792,1359,722,2.1429,4,3.2742382271,0.3350253807,1.8822714681,250000
168,-122.25,37.8,29,-0.0811359246,864,1335,773,1.3929,4,3.1927554981,0.3500810373,1.7270375162,193800
171,-122.25,37.79,50,-0.9254539697,188,742,196,2.6458,4,3.2091836735,0.2988871224,3.7857142857,125000
182,-122.23,37.8,52,-0.8547497941,184,488,186,1.9375,4,4.2096774194,0.2349936143,2.623655914,126600
189,-122.24,37.79,39,-0.53979483,431,1464,389,2.1638,4,3.7763496144,0.2933968686,3.763496144,105500
195,-122.25,37.79,52,-0.8001147493,237,846,227,3.625,4,3.9735682819,0.2627494457,3.7268722467,125000
199,-122.23,37.77,52,-0.8611774464,206,612,183,2.57,4,4.2021857923,0.2678803641,3.3442622951,72000
206,-122.23,37.79,48,-0.4355750387,396,1481,343,2.0375,4,4.944606414,0.233490566,4.3177842566,122500
209,-122.23,37.79,30,-0.9341772121,145,425,140,1.6198,4,4.3571428571,0.237704918,3.0357142857,122700
217,-122.2,37.79,29,-0.461285648,376,939,340,2.8321,4,4.8235294118,0.2292682927,2.7617647059,150000
225,-122.21,37.8,52,0.401397118,711,1883,706,3.4861,4,4.9844192635,0.2020460358,2.6671388102,187100
229,-122.19,37.8,46,-0.324468477,341,768,332,4.2727,4,5.8373493976,0.1759545924,2.313253012,246900
237,-122.2,37.79,49,-0.8092971098,195,737,210,2.6667,4,4.2,0.2210884354,3.5095238095,122000
250,-122.22,37.78,44,-0.4438391631,514,1700,495,2.0801,4,3.3898989899,0.3063170441,3.4343434343,131900
270,-122.19,37.78,52,-0.2050977909,397,984,369,3.22,4,5.9566395664,0.1806187443,2.6666666667,156500
272,-122.19,37.78,49,-0.6711025847,205,496,209,5.2328,4,5.6602870813,0.1732882502,2.3732057416,174200
286,-122.17,37.77,30,0.3127873395,746,1704,703,2.875,4,4.7311522048,0.2242934456,2.4238975818,135300
290,-122.17,37.78,52,-0.9144351371,128,296,121,4.175,4,5.3966942149,0.1960183767,2.4462809917,144000
291,-122.16,37.77,47,-0.637586969,435,570,218,4.375,4,5.7614678899,435,2.6146788991,161900
295,-122.17,37.77,39,-0.4741409527,342,912,322,3.3958,4,5.0062111801,0.2121588089,2.8322981366,141900
297,-122.17,37.76,41,-0.4824050771,367,1074,355,1.9356,4,4.4901408451,0.230238394,3.0253521127,90600
298,-122.17,37.76,47,-0.2418272328,413,965,382,2.1842,4,5.5445026178,0.1949952786,2.5261780105,107900
299,-122.18,37.76,37,-0.4911283195,358,933,320,2.2917,4,4.921875,0.2273015873,2.915625,107000
302,-122.18,37.76,52,-0.8680642168,175,447,165,3.9063,4,4.5696969697,0.2320954907,2.7090909091,93800
320,-122.19,37.75,19,-0.2009657287,565,1481,520,1.3194,4,4.2442307692,0.2560036248,2.8480769231,81400
333,-122.17,37.74,47,-1.0016675616,134,327,137,2.15,4,3.3795620438,0.2894168467,2.3868613139,97200
335,-122.17,37.73,43,-0.5379583579,371,1231,341,2.1587,4,4.3196480938,0.2518669382,3.6099706745,86500
336,-122.18,37.74,35,-0.9828437226,126,323,109,1.8438,4,4.623853211,0.25,2.9633027523,90500
339,-122.18,37.74,46,-0.2487140032,391,1339,354,2.2467,4,5.9406779661,0.1859248692,3.7824858757,88900
341,-122.18,37.75,46,-0.7822091464,218,621,195,1.325,4,4.8256410256,0.2316684378,3.1846153846,87100
342,-122.17,37.75,38,-0.7587941272,435,732,259,1.6196,4,3.8301158301,435,2.8262548263,85100
358,-122.15,37.76,39,-0.3772670497,286,763,270,6.0749,4,6.7518518519,0.1568842567,2.8259259259,196900
361,-122.13,37.76,26,0.2852402581,491,1222,533,5.37,4,6.1275797373,0.1503368034,2.2926829268,275400
363,-122.12,37.75,28,-0.8496994958,111,329,109,7.6923,4,7.2844036697,0.1397984887,3.0183486239,329800
374,-122.16,37.75,44,-0.930963386,131,378,135,2.5568,4,4.5703703704,0.2123176661,2.8,111100
378,-122.16,37.75,35,-0.9080074848,140,406,133,3.8047,4,5.015037594,0.2098950525,3.0526315789,94300
383,-122.16,37.74,52,-0.8602592104,147,355,144,4.1458,4,5.3541666667,0.1906614786,2.4652777778,143400
386,-122.29,37.9,49,-0.6251907824,238,576,236,3.3333,4,5.436440678,0.185502728,2.4406779661,276800
387,-122.29,37.9,52,-0.4778138969,263,594,286,5.338,4,5.6083916084,0.1639650873,2.0769230769,270900
388,-122.29,37.89,52,-0.1821418898,422,870,377,3.4732,4,5.9628647215,0.1877224199,2.3076923077,246200
391,-122.3,37.89,46,-0.5163798108,402,815,375,2.8036,4,4.0533333333,0.2644736842,2.1733333333,211600
410,-122.28,37.9,52,-0.2946258055,250,658,244,10.0825,4,8.2090163934,0.1248127808,2.6967213115,397000
414,-122.28,37.89,52,-0.2638648979,329,722,306,5.4171,4,6.7647058824,0.1589371981,2.3594771242,292000
415,-122.28,37.89,52,-0.0131864572,473,1085,487,4.125,4,5.3716632444,0.1808103976,2.227926078,270900
420,-122.26,37.89,52,0.1989260697,494,1005,462,6.381,4,6.6623376623,0.1604938272,2.1753246753,342200
424,-122.26,37.88,52,-0.0430291287,417,894,404,6.2425,4,6.3143564356,0.1634653077,2.2128712871,391800
425,-122.26,37.88,52,-0.1789280636,410,823,377,5.7979,4,5.9814323607,0.1818181818,2.1830238727,415300
443,-122.28,37.88,52,-0.774863258,188,403,172,3.2344,4,5.5639534884,0.1964472309,2.3430232558,245500
445,-122.28,37.87,49,-0.284066091,548,963,521,1.9805,4,3.8886756238,0.2704837117,1.8483685221,173700
446,-122.29,37.87,50,-0.3745123416,536,1129,516,2.6684,4,3.5445736434,0.2930563149,2.1879844961,185600
449,-122.28,37.87,46,0.1732154603,696,1293,675,2.543,4,4.477037037,0.2303110523,1.9155555556,220700
453,-122.27,37.88,37,-0.0118091031,682,1152,616,2.52,4,4.2516233766,0.2604047346,1.8701298701,277800
455,-122.26,37.88,52,-0.1293433171,604,1558,573,2.944,4,4.1239092496,0.2556072789,2.7190226876,338900
465,-122.27,37.87,52,0.2016807778,698,1424,694,2.7372,4,4.4438040346,0.2263294423,2.0518731988,210200
467,-122.28,37.87,52,-0.38185823,353,828,339,3.5625,4,5.3480825959,0.194704909,2.4424778761,191700
471,-122.29,37.86,52,-0.4498076974,404,815,372,1.9946,4,4.4758064516,0.2426426426,2.1908602151,156900
472,-122.28,37.86,52,-0.4525624056,367,788,346,2.8214,4,4.7947976879,0.221217601,2.2774566474,164300
480,-122.28,37.86,52,0.16632869,691,1582,636,2.5652,4,4.7279874214,0.22979714,2.4874213836,157700
487,-122.26,37.86,52,0.3912965215,832,1493,794,2.9044,4,4.4042821159,0.2379182156,1.8803526448,257400
500,-122.27,37.85,50,-0.6270272545,300,675,255,1.9028,4,5.0156862745,0.2345582486,2.6470588235,150800
501,-122.27,37.85,52,-0.3079402282,426,875,363,1.5817,4,5.4380165289,0.2158054711,2.4104683196,153600
503,-122.27,37.85,47,-0.5829519242,307,843,319,1.3785,4,4.3103448276,0.2232727273,2.6426332288,142300
506,-122.28,37.85,48,-0.2670787241,484,1054,466,2.2625,4,4.4270386266,0.2346097916,2.2618025751,132900
510,-122.23,37.83,52,0.1585236836,379,947,361,7.8772,4,8.2825484765,0.1267558528,2.6232686981,500001
511,-122.22,37.82,39,-0.0701170921,310,808,315,11.8603,4,7.9111111111,0.1243980738,2.5650793651,500001
531,-122.26,37.78,52,-0.7688947237,217,528,208,3.3438,4,4.6634615385,0.2237113402,2.5384615385,201300
536,-122.27,37.78,13,-0.2868207991,535,959,486,5.2601,4,4.1563786008,0.2648514851,1.9732510288,292700
537,-122.28,37.79,30,0.6888050006,869,3668,855,2.5444,4,4.8479532164,0.2096501809,4.2900584795,275000
540,-122.29,37.78,42,-0.6444737394,309,821,300,1.9427,4,4.1366666667,0.2489927478,2.7366666667,102200
541,-122.28,37.77,52,-0.540253948,363,870,347,2.9688,4,4.2305475504,0.2472752044,2.507204611,220800
543,-122.29,37.76,18,0.1048068749,763,1243,663,5.1702,4,4.3333333333,0.2655760529,1.874811463,265400
548,-122.27,37.77,52,-0.4291473864,481,849,457,2.7115,4,3.7417943107,0.2812865497,1.8577680525,220800
549,-122.27,37.77,52,-0.1178653665,559,1121,518,3.3269,4,4.61003861,0.2340871022,2.1640926641,234500
555,-122.26,37.77,52,-0.3657890991,479,921,477,2.875,4,3.8742138365,0.2591991342,1.9308176101,234000
556,-122.24,37.77,43,-0.775781494,284,585,266,2.3882,4,3.5902255639,0.297382199,2.1992481203,162500
561,-122.24,37.76,52,-0.3667073352,471,827,446,2.6833,4,4.1390134529,0.2551462622,1.8542600897,240900
575,-122.27,37.77,23,1.3930920485,1270,2690,1151,4.7695,4,4.9339704605,0.2236309209,2.3370981755,291700
576,-122.28,37.75,20,-0.6834987713,365,583,326,3.1972,4,3.5460122699,0.3157439446,1.7883435583,100000
578,-122.06,37.73,5,0.4367492058,467,1738,512,7.0568,4,7.0234375,0.1298665184,3.39453125,412500
589,-122.1,37.7,25,0.1507186772,622,1413,595,4.3819,4,4.9966386555,0.2092162799,2.374789916,209200
594,-122.09,37.7,30,-0.4103235474,269,731,263,6.005,4,6.6577946768,0.1536264991,2.7794676806,263900
604,-122.07,37.69,29,-0.1564312805,618,1021,552,2.5362,4,4.1739130435,0.2682291667,1.8496376812,203800
613,-122.14,37.74,52,-0.7225238033,201,440,192,4.0662,4,5.578125,0.18767507,2.2916666667,204200
615,-122.15,37.74,49,-0.5283168794,316,611,288,2.2,4,5.1875,0.2115127175,2.1215277778,187500
620,-122.17,37.73,46,-0.2211669218,470,925,435,3.25,4,4.9724137931,0.2172907998,2.1264367816,177500
635,-122.16,37.71,37,-0.5223483451,242,632,253,4.5553,4,5.9565217391,0.1605839416,2.4980237154,191000
645,-122.13,37.73,33,-0.2978396317,268,686,270,6.9096,4,7.3925925926,0.1342685371,2.5407407407,341800
649,-122.13,37.72,25,-0.6935993679,153,340,171,6.5095,4,6.6315789474,0.1349206349,1.9883040936,371200
656,-122.14,37.71,27,0.206271958,866,1364,789,2.6101,4,3.9214195184,0.279896574,1.7287705957,181700
661,-122.15,37.7,36,-0.5420904201,244,672,261,3.5547,4,5.6091954023,0.1666666667,2.5747126437,194700
665,-122.14,37.7,36,-0.6329957888,228,606,239,3.9702,4,5.2970711297,0.1800947867,2.5355648536,194100
666,-122.16,37.7,36,-0.186273952,391,1203,379,5.0043,4,5.907651715,0.1746315319,3.1741424802,190400
675,-122.16,37.68,16,-0.4397071009,348,568,352,2.3869,4,4.7926136364,0.2062833432,1.6136363636,83300
682,-122.15,37.69,39,-0.4475121073,308,957,335,5.1312,4,4.9850746269,0.1844311377,2.8567164179,183600
687,-122.12,37.69,30,-0.6646749324,269,695,279,3.4375,4,4.2903225806,0.2247284879,2.4910394265,157800
706,-122.04,37.66,10,-0.2817705009,357,867,352,5.3169,4,5.7698863636,0.1757754801,2.4630681818,299200
714,-122.09,37.67,48,-0.6394234411,305,673,308,2.3357,4,4.0649350649,0.2436102236,2.1850649351,175000
719,-122.09,37.68,43,-0.5645872033,348,569,293,2.5156,4,4.8293515358,0.2459363958,1.9419795222,190900
726,-122.12,37.68,35,-0.3152861166,484,1146,448,2.95,4,4.3705357143,0.2471910112,2.5580357143,148900
731,-122.13,37.68,45,-0.0861862229,445,1129,422,4.0588,4,5.8222748815,0.1811151811,2.6753554502,182800
735,-122.14,37.67,34,0.1796431127,533,1366,500,4.2386,4,6.072,0.1755599473,2.732,192300
736,-122.15,37.67,35,-0.0792994525,398,1171,390,5.5797,4,6.3384615385,0.1610032362,3.0025641026,198100
743,-122.13,37.67,42,0.4349127337,703,1625,665,3.2434,4,5.4015037594,0.1957126949,2.4436090226,179900
749,-122.09,37.66,39,-0.6816622992,259,725,274,2.2222,4,4.2335766423,0.2232758621,2.6459854015,158300
759,-122.07,37.66,21,1.0955835694,1168,2461,1042,3.875,4,4.8282149712,0.2321606043,2.3618042226,179300
771,-122.1,37.66,34,-0.913057783,115,342,112,4.6875,4,5.8571428571,0.175304878,3.0535714286,200600
772,-122.11,37.66,29,-0.0462429548,643,2332,603,3.2091,4,4.2189054726,0.2527515723,3.8673300166,150000
774,-122.11,37.66,36,-0.4084870753,316,913,299,4.1302,4,5.8695652174,0.1800569801,3.0535117057,172700
779,-122.1,37.65,36,-1.0260008168,76,252,82,4.5303,4,5,0.1853658537,3.0731707317,175000
780,-122.12,37.65,26,-1.1398620866,27,86,25,2.375,4,6.48,0.1666666667,3.44,137500
783,-122.13,37.66,19,-0.8184794702,167,407,183,4.3456,4,4.7103825137,0.1937354988,2.2240437158,163000
785,-122.11,37.64,31,-0.5315307056,280,854,301,5.2312,4,4.9401993355,0.1882985878,2.8372093023,197600
787,-122.12,37.64,40,-1.0159002203,102,264,77,3.8875,4,5.6103896104,0.2361111111,3.4285714286,228100
791,-122.08,37.64,36,-0.599021055,245,789,248,3.8,4,5.4032258065,0.1828358209,3.1814516129,172000
794,-122.09,37.64,36,-0.6724799388,212,664,200,5.2838,4,5.9,0.1796610169,3.32,172600
797,-122.08,37.63,31,-0.8620956824,171,548,185,3.7614,4,4.1459459459,0.222946545,2.9621621622,176000
799,-122.08,37.64,36,-0.85337244,133,463,160,3.9338,4,4.9125,0.1692111959,2.89375,182700
803,-122.06,37.64,37,-0.540253948,304,1038,282,4.1652,4,5.2056737589,0.2070844687,3.6808510638,158200
804,-122.06,37.64,20,-0.4543988777,450,857,430,3.5541,4,3.8488372093,0.2719033233,1.9930232558,350000
807,-122.04,37.63,33,-0.7771588481,172,369,159,3.2331,4,5.9874213836,0.1806722689,2.320754717,226700
812,-122.04,37.62,32,-0.5071974504,324,793,302,3.2857,4,5.0993377483,0.2103896104,2.6258278146,193200
817,-122.04,37.62,35,-0.8014921034,179,455,185,4.2857,4,4.8594594595,0.1991101224,2.4594594595,190400
822,-122.06,37.63,12,1.8669018487,1374,3388,1289,3.8625,4,5.2063615206,0.204738489,2.628394104,208900
827,-122.09,37.63,36,-0.4934239096,274,992,249,5.3644,4,6.3052208835,0.174522293,3.983935743,168800
829,-122.08,37.62,27,-0.3758896957,309,1016,313,5.64,4,5.8338658147,0.1692223439,3.2460063898,206500
832,-122.02,37.6,36,-0.4644994742,345,1382,338,3.694,4,4.8313609467,0.2112676056,4.0887573964,159600
834,-122.02,37.6,32,-0.6196813661,280,1156,300,3.5,4,4.3166666667,0.2162162162,3.8533333333,154300
841,-122.06,37.6,18,-0.421801498,276,1186,310,5.3226,4,5.5677419355,0.1599073001,3.8258064516,231700
842,-122.08,37.59,16,-0.3804808759,365,1367,355,4.235,4,5.1154929577,0.2009911894,3.8507042254,156300
846,-122.07,37.58,16,-0.4768956608,240,1117,268,6.0661,4,5.9925373134,0.1494396015,4.1679104478,247000
850,-122.04,37.59,14,-0.42134238,302,1116,273,5.3428,4,6.326007326,0.1748697163,4.0879120879,243600
851,-122.05,37.59,15,1.6520346138,1273,3163,1274,3.7462,4,4.9003139717,0.2039083774,2.4827315542,212500
853,-122.02,37.59,18,-0.6793667091,333,855,319,3.6923,4,3.6520376176,0.2858369099,2.6802507837,213200
872,-122.07,37.52,3,5.2198407737,2861,7205,2753,6.0824,4,5.0904467853,0.2041529899,2.6171449328,273500
876,-122.03,37.56,24,2.6625533833,1492,4446,1491,4.6978,4,5.6633132126,0.1766935102,2.9818913481,240300
880,-122.01,37.56,24,-0.0375197124,485,1174,501,3.8179,4,5.1157684631,0.1892313695,2.3433133733,216100
898,-121.96,37.53,28,0.1396998446,529,1538,545,4.9615,1,5.4110091743,0.1793828416,2.8220183486,228000
902,-121.97,37.53,26,-0.0636894397,387,1273,406,5.4299,1,6.1724137931,0.1544293695,3.1354679803,236400
906,-121.99,37.54,18,0.4312397895,715,1673,661,3.9444,1,5.4220877458,0.1994977679,2.5310136157,240100
910,-122.01,37.55,34,0.0671591969,495,1276,468,4.9167,4,5.9636752137,0.1773557865,2.7264957265,256300
919,-121.95,37.52,33,0.6194781791,764,2721,763,5.2308,1,5.2346002621,0.1912869304,3.5661861075,196900
924,-121.89,37.49,9,1.0395711705,577,1981,591,9.7194,1,8.3062605753,0.1175392137,3.3519458545,500001
930,-122.03,37.55,26,0.2030581319,532,1597,483,4.9118,4,6.3913043478,0.1723356009,3.3064182195,217300
936,-122.04,37.5,17,-1.0273781709,97,307,100,3.1696,4,4.07,0.2383292383,3.07,156300
940,-122.04,37.53,34,-0.1509218642,478,1524,467,3.7364,4,4.9593147752,0.2063903282,3.2633832976,190400
944,-122.01,37.53,19,0.8848483966,712,2346,709,6.0667,4,6.4485190409,0.1557305337,3.3088857546,245700
947,-121.92,37.72,4,2.2185862546,1576,2937,1506,5.1437,1,4.9648074369,0.2107797245,1.9501992032,299400
951,-121.93,37.72,26,0.0740459673,459,1453,444,4.9107,1,6.3198198198,0.163578047,3.2725225225,213800
955,-121.92,37.64,46,-0.6265681364,209,512,208,5.1406,2,6.1538461538,0.16328125,2.4615384615,315600
961,-121.91,37.69,23,-0.2138210334,308,926,299,5.9345,1,7.2876254181,0.1413492428,3.0969899666,259600
962,-121.91,37.68,20,-0.3859902922,254,831,260,6.177,1,6.9384615385,0.1407982262,3.1961538462,262900
963,-121.91,37.68,18,0.4528183366,547,1700,520,5.817,1,6.9826923077,0.1506472046,3.2692307692,257300
966,-121.88,37.68,23,-0.1885695421,270,854,286,7.333,2,7.8111888112,0.1208594449,2.986013986,337200
967,-121.89,37.68,22,-0.342833198,239,734,245,6.2918,1,7.7469387755,0.1259220232,2.9959183673,334100
971,-121.89,37.67,19,-0.2803931468,288,852,295,6.5285,2,6.8949152542,0.1415929204,2.8881355932,300400
973,-121.9,37.67,7,3.1657467369,1294,3926,1229,7.4353,1,7.7624084622,0.135639413,3.1944670464,389800
978,-121.88,37.64,20,-0.6132537138,184,514,172,10.9506,2,7.6104651163,0.140565317,2.988372093,475800
981,-121.87,37.67,28,-0.382317348,294,853,278,4.9879,2,6.5179856115,0.1622516556,3.0683453237,229400
982,-121.85,37.68,4,0.9523387461,741,1895,742,6.8132,2,6.3598382749,0.1570247934,2.5539083558,282500
984,-121.86,37.66,22,0.4541956907,664,1699,640,4.1597,2,5.678125,0.1827187672,2.6546875,293200
985,-121.87,37.66,27,-0.4938830277,242,583,214,5.7519,2,7.3317757009,0.1542383684,2.7242990654,278500
987,-121.85,37.72,43,-1.1095602971,40,83,42,10.3203,2,5.4285714286,0.1754385965,1.9761904762,400000
989,-121.86,37.7,13,3.2029352968,1344,4389,1391,6.6827,2,6.9166067577,0.1396944185,3.1552839684,313700
994,-121.72,37.7,17,-0.4470529893,352,729,252,6.1023,2,6.630952381,0.210652304,2.8928571429,450000
1000,-121.82,37.69,12,-0.3391602538,351,802,319,4.9375,2,5.9749216301,0.1841552991,2.5141065831,227700
1008,-121.75,37.68,35,-0.4084870753,299,702,263,5.2443,2,6.6730038023,0.1703703704,2.6692015209,183400
1011,-121.73,37.68,17,8.1306490421,3493,8768,3293,5.4496,2,6.1809899787,0.1716124595,2.6626176739,238900
1013,-121.77,37.68,44,-0.9869757848,112,277,109,2.6667,2,4.5412844037,0.2262626263,2.5412844037,179200
1024,-119.93,38.72,15,-0.2679969602,465,573,196,2.2417,2,10.5153061224,0.2256186317,2.9234693878,97900
1025,-120,38.52,16,0.1837751749,543,202,102,3.15,2,29.8529411765,0.1783251232,1.9803921569,140600
1033,-120.8,38.51,23,-0.754662065,195,369,157,3.125,2,6.3757961783,0.1948051948,2.3503184713,96400
1042,-120.98,38.34,27,0.3793594529,653,1793,600,3.5508,2,5.785,0.1881302218,2.9883333333,99100
1044,-120.93,38.26,13,-0.2574372456,449,834,305,3.2937,2,6.8327868852,0.2154510557,2.7344262295,114200
1047,-120.72,38.38,9,-0.3937952986,347,806,306,2.525,2,5.839869281,0.1941801903,2.6339869281,157200
1050,-120.62,38.39,15,0.5074533814,691,1444,603,2.7399,2,6.2189054726,0.1842666667,2.3946932007,134800
1051,-120.69,38.36,19,0.2856993761,614,1252,566,2.7236,2,5.7720848057,0.1879400061,2.2120141343,109900
1061,-121.88,39.74,12,5.5031165941,3298,7517,3262,1.6785,2,4.4852851012,0.2254117969,2.3044144697,153100
1072,-121.84,39.74,43,0.1520960313,599,1181,560,2.2621,2,5.3142857143,0.2012768817,2.1089285714,85100
1077,-121.8,39.75,11,2.0969199784,1355,3264,1264,3.1125,2,5.7056962025,0.1878813089,2.582278481,122600
1087,-121.85,39.72,18,2.1244670598,1559,5022,1524,1.6911,2,4.7716535433,0.2143839384,3.2952755906,98800
1088,-121.83,39.72,52,-0.3465061422,420,974,383,1.6827,2,4.9347258486,0.2222222222,2.5430809399,78700
1089,-121.81,39.7,21,1.1047659298,1054,2948,980,1.5863,2,5.1540816327,0.2086715502,3.0081632653,81300
1093,-121.87,39.82,11,1.1286400671,825,2456,810,4.5032,2,6.3,0.1616696061,3.0320987654,159700
1107,-121.6,39.8,10,-0.4144556096,307,721,312,2.4537,2,5.5833333333,0.1762342135,2.3108974359,117900
1115,-121.59,39.78,18,-0.7803726743,205,385,207,2.1838,2,4.5652173913,0.2169312169,1.8599033816,58000
1118,-121.63,39.78,28,-0.4442982811,327,770,309,2.6823,2,5.427184466,0.1949910555,2.4919093851,93400
1128,-121.6,39.76,22,-0.0907774031,556,1157,556,1.8245,2,4.4010791367,0.2272170004,2.0809352518,85500
1134,-121.62,39.75,20,-0.6756937649,261,523,258,1.0625,2,4.5465116279,0.2225063939,2.0271317829,92800
1135,-121.63,39.75,37,-0.6192222481,296,569,257,1.8616,2,5.0428015564,0.2283950617,2.2140077821,70500
1136,-121.64,39.74,20,-0.3841538201,334,763,335,2.3711,2,5.3970149254,0.1847345133,2.2776119403,121800
1137,-121.71,39.71,17,0.0474171219,556,1174,514,3.066,2,5.3463035019,0.2023289665,2.2840466926,102600
1151,-121.56,39.52,26,-0.3157452346,429,945,397,1.7308,2,4.9294710327,0.2192130812,2.3803526448,53600
1158,-121.47,39.51,19,0.4936798407,636,1304,607,2.6921,2,6.1285008237,0.1709677419,2.1482701812,97500
1165,-121.55,39.51,48,-0.834548601,198,396,161,0.8024,2,5.1366459627,0.2394195889,2.4596273292,58300
1166,-121.55,39.51,50,-0.7321652818,288,485,260,1.1607,2,4.0384615385,0.2742857143,1.8653846154,51700
1167,-121.56,39.51,47,-0.7257376295,245,603,190,1.3654,2,5.6,0.2302631579,3.1736842105,57900
1168,-121.56,39.51,46,-0.3488017323,385,871,347,1.6352,2,5.4322766571,0.2042440318,2.5100864553,53100
1174,-121.61,39.52,24,-0.4750591887,324,909,323,1.8661,2,4.9845201238,0.201242236,2.8142414861,59800
1177,-121.55,39.5,26,0.2618252389,827,2041,737,1.0585,2,4.3622795115,0.2572317263,2.7693351425,45100
1178,-121.54,39.5,38,-0.5540274887,310,779,275,1.3289,2,5.2290909091,0.2155771905,2.8327272727,39400
1179,-121.53,39.49,19,-0.5085748044,329,617,274,1.5313,2,5.6094890511,0.2140533507,2.2518248175,50300
